# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr  4 14:25:57 2026
#
# User preference: *
#
# COLUMN toi:            TESS Object of Interest
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN toi_created:    TOI Created Date
#
toi,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created
1055.01,17.4713078,0.0000176,-0.0000176,0,4.4284819,0.0990118,-0.0990118,0,3.5766828,0.2409907,-0.2409907,0,5783.5400000,7.8242900,-7.8242900,0,0.9746690,0.0546984,-0.0546984,0,2019-08-16 20:20:47
1056.01,5.3079507,0.0000191,-0.0000191,0,3.2158594,0.2920944,-0.2920944,0,3.0486928,0.3630359,-0.3630359,0,6124.3000000,83.0000000,-83.0000000,0,1.3696300,0.0633668,-0.0633668,0,2019-08-16 20:20:50
1057.01,51.1701501,0.0001962,-0.0001962,0,6.6641048,0.2877187,-0.2877187,0,2.9366826,0.2657500,-0.2657500,0,5599.0000000,187.0000000,-187.0000000,0,0.9433560,0.0456583,-0.0456583,0,2019-08-16 20:20:47
1058.01,11.1296441,0.0000603,-0.0000603,0,7.0473822,0.3110119,-0.3110119,0,12.8402271,0.8162001,-0.8162001,0,5785.0000000,189.0000000,-189.0000000,0,3.4475601,0.1744170,-0.1744170,0,2019-08-16 20:20:41
1059.01,9.4496506,0.0000028,-0.0000028,0,2.0210000,0.0270000,-0.0270000,0,17.0216000,1.1024900,-1.1024900,0,5509.0000000,186.0000000,-186.0000000,0,0.9400000,0.0600000,-0.0600000,0,2019-08-16 20:20:49
106.01,2.8493827,0.0000002,-0.0000002,0,3.5488880,0.2195217,-0.2195217,0,16.0782163,0.7243942,-0.7243942,0,6900.0000000,,,0,1.7700000,0.0800000,-0.0800000,0,2019-05-07 17:42:35
1060.01,2.0685633,0.0000040,-0.0000040,0,0.3730000,0.0650000,-0.0650000,0,3.8973900,0.4173060,-0.4173060,0,5687.9000000,76.0000000,-76.0000000,0,1.1400000,0.0700000,-0.0700000,0,2019-08-16 20:20:42
1061.01,0.5409330,0.0001070,-0.0001070,0,1.6743370,0.3297570,-0.3297570,0,2.2850100,0.5732300,-0.5732300,0,5525.0000000,186.0000000,-186.0000000,0,1.2193500,0.1645800,-0.1645800,0,2019-08-16 20:20:44
1062.01,4.1150576,0.0000056,-0.0000056,0,1.0800000,0.3230000,-0.3230000,0,2.3005700,0.1683300,-0.1683300,0,5394.0000000,185.0000000,-185.0000000,0,0.8900000,0.0500000,-0.0500000,0,2019-08-16 20:20:47
1063.01,10.0665238,0.0000237,-0.0000237,0,2.4023189,0.1599323,-0.1599323,0,2.7272824,0.2128311,-0.2128311,0,5552.0000000,187.0000000,-187.0000000,0,0.7917420,0.0453065,-0.0453065,0,2019-08-16 20:20:49
1064.01,6.4438657,0.0000165,-0.0000165,0,1.9309449,0.3014965,-0.3014965,0,2.4603440,1.6387280,-1.6387280,0,4803.0000000,178.0000000,-178.0000000,0,0.7371890,0.0567035,-0.0567035,0,2019-08-16 20:20:42
1064.02,12.2265595,0.0000269,-0.0000269,0,2.1904379,0.4219775,-0.4219775,0,2.6014766,1.7533404,-1.7533404,0,4803.0000000,178.0000000,-178.0000000,0,0.7371890,0.0567035,-0.0567035,0,2019-08-16 20:20:42
1065.01,2.1603440,0.0002760,-0.0002760,0,1.8288540,0.1448100,-0.1448100,0,22.5035410,17.5002040,-17.5002040,0,5780.0000000,,,0,1.2000000,,,0,2019-08-16 20:20:41
1066.01,4.6061840,0.0003920,-0.0003920,0,3.1216430,0.0788770,-0.0788770,0,12.9622190,0.5821830,-0.5821830,0,5670.0000000,,,0,1.0700000,,,0,2019-08-16 20:20:44
1067.01,3.1316735,0.0000033,-0.0000033,0,2.4579197,0.0815638,-0.0815638,0,9.4995191,0.3442331,-0.3442331,0,4351.0000000,167.0000000,-167.0000000,0,0.7670100,,,0,2019-08-16 20:20:44
1068.01,3.1803620,0.0002470,-0.0002470,0,2.1115210,0.1062580,-0.1062580,0,13.4464870,0.6006790,-0.6006790,0,5498.0000000,,,0,0.9200000,,,0,2019-08-16 20:20:41
1069.01,2.9776446,0.0000008,-0.0000008,0,2.9620000,0.0990000,-0.0990000,0,14.4339000,0.7657650,-0.7657650,0,5703.0000000,188.0000000,-188.0000000,0,1.2200000,0.0600000,-0.0600000,0,2019-08-16 20:20:41
107.01,3.9502008,0.0000026,-0.0000026,0,4.4440000,0.0460000,-0.0460000,0,20.5357000,0.8996640,-0.8996640,0,6153.0000000,,,0,1.7100000,0.0700000,-0.0700000,0,2018-09-05 18:49:20
1070.01,2.9776152,0.0000978,-0.0000978,0,3.2569700,0.0302260,-0.0302260,0,26.8842300,0.1969780,-0.1969780,0,5740.0000000,,,0,1.2800000,,,0,2019-08-16 20:20:41
1071.01,3.5544026,0.0000020,-0.0000020,0,2.0550535,0.0377042,-0.0377042,0,13.2006770,0.7620152,-0.7620152,0,5639.0000000,188.0000000,-188.0000000,0,1.1149900,0.0591758,-0.0591758,0,2019-08-16 20:20:42
1072.01,12.8379689,0.0031236,-0.0031236,0,9.8464123,0.1878411,-0.1878411,0,25.4886382,1.3767760,-1.3767760,0,5765.0000000,189.0000000,-189.0000000,0,2.4494000,0.1169900,-0.1169900,0,2019-08-16 20:20:43
1073.01,3.9228016,0.0000122,-0.0000122,0,1.8736007,0.0798146,-0.0798146,0,13.3368705,0.4312808,-0.4312808,0,4444.0000000,168.0000000,-168.0000000,0,0.6983000,,,0,2019-08-16 20:20:43
1074.01,13.9428705,0.0000585,-0.0000585,0,3.7522756,0.6019145,-0.6019145,0,2.4233421,1.1757723,-1.1757723,0,5206.0000000,183.0000000,-183.0000000,0,0.7416710,0.0479724,-0.0479724,0,2019-08-16 20:20:47
1075.01,0.6047392,0.0000056,-0.0000056,0,1.0403847,0.2214539,-0.2214539,0,1.8625587,1.4926332,-1.4926332,0,4046.0000000,170.0000000,-170.0000000,0,0.5803370,0.0172756,-0.0172756,0,2019-08-16 20:20:48
1076.01,2.5495611,0.0000007,-0.0000007,0,2.6173308,0.0193336,-0.0193336,0,12.9171288,0.6510275,-0.6510275,0,5659.0000000,,,0,1.0399700,0.0519397,-0.0519397,0,2019-08-16 20:20:48
1077.01,1.6062693,0.0000010,-0.0000010,0,1.9561305,0.0446816,-0.0446816,0,12.6436029,0.3239791,-0.3239791,0,5192.0000000,182.0000000,-182.0000000,0,0.9843260,,,0,2019-08-16 20:20:48
